,text,label
19863,"William (Nicholas Ball) and Emma Peters (Rachel Davies) buy an old house where a brutal murder happened years ago in very bad condition with the intention of restoring it. They move with their daughter Sophie (Emma RidleY), and become friends of their neighbors Jean (Patricia Maynard) and George Evans (Brian Croucher). However, eerie events happen in the house, inclusive the death of Sophie's cat. In Sophie's birthday party, a pipe leaks blood and they leave the place, disclosing a secret later.<br /><br />""The House That Bled to Death"" is a scary and one of the best episodes of the series ""Hammer House of Horror"". The fantastic twist, disclosing a secret, and the tragic conclusion are really excellent. My vote is eight.<br /><br />Title (Brazil): ""A Casa Que Sangrou Até Morrer"" (""The House That Bled to Death"")",1
46656,"Other reviewers seem to have held this film in high regard. For something made by an eighteen year old film student, I would say bravo, but that is not the case. If you want to watch a good movie about graffitti stick to the documentaries. It is filmed with the same quality as a digital home video. The two main characters are dismal actors and once again that would be okay if this were a student film. The plot follows a lonely artist who skateboards around Portland writing graffitti. He is joined by another and they skate around together creating art. Then comes the unnecessary gay love scene. Then comes the dispute between them that is never actually discussed because this film has about as much dialogue as a charlie chaplin picture. This movie does show the gravity street artists give to their form well, and the music is nice, but overall I wouldn't really call it a film.",0
49651,"With some wine, some friends and some good humor, I had a really good time watching this film. I particularly enjoyed the performance of Jilon Ghai (as ""Randy""), who was such a kick in the pants! His scenes with Charity Rahmer (""Michelle"") were wildly amusing. I wouldn't want him coming on to me, but it was great watching ""Randy"" try to score with ""Michelle"" and even better seeing the results! Of course, the girls in the film are lots of fun to watch too. AND, a friend of mine showed me the PLAYBOY issue that had Pilar Lastra as the Playmate of the Month. She's definitely a looker. All in all, this film totally served its purpose, which was to entertain us in a light and care-free way.",1
5429,"Well first off I'd like to add that I myself is somewhat of a historian so what I look for in a film that is based upon historical events is that it is actually based upon historical facts. But this is however not the case here. Sure the movie is entertaining and all but the fact that it isn't entirely based upon true facts is more than annoying. Hitler wasn't anti-semitic in his youth, he even worked for Jews before world war one. It was however during world war one and after that he formed his views about the Jews. His upbringing in this movie is also inaccurate, Hitler as a child wasn't a disturbed little brat. He had a more or less normal upbringing. Nothing is mentioned about his lost brothers and other important pieces that adds to the puzzle that is Hitler.<br /><br />Robert Carlyle is a great actor but he doesn't really fit in the role as Hitler. Hitler wasn't as impossible and unstable as he is portrait-ed here. Under his younger years he was a charismatic person whom ""manipulated"" people through his charms. His unstable behavior and rage outbursts started in the turning point of the war.<br /><br />I'd like to see a film about Hitler's life that is based upon real historical facts and not accusations. I really hate when people point a blaming finger at for example Hitler and others and tell inaccurate stories just to paint a picture of them as pure evil. It is much better to actually tell the story EXACTLY as it was so that everyone can learn what it was like! The ones behind this movie should have made some research before making this. Because it seems as if they didn't even know what really happened. Hitler wasn't even shot in the revolutionary march in Munch, his shoulder was ripped out of its socket.<br /><br />It gives you more to see a good documentary than seeing this.",0
34165,"I cannot believe how this atrocity managed to capture the hearts and minds of a cross-section of the 'bright young things' of its era, but I'm certain I wish it hadn't. In my opinion it is an inaccurate, poorly acted, weakly scripted, pretentiously directed piece of gumpf. The brief outings to an imagined reality bludgeon any humour to death. The situations are unsubtle exaggerations which make the the already flimsy characters even more unbelievable and detestable. The romance is dull, the end is unsatisfying and ruins the only sensible drugs message in the film and the simple plot ('Withnail and I,' 'Fear and Loathing') is tested to extremes with the uninteresting motion of the film. In short this film as a blatant visual assault with no hint of skill or initiative. I condemn it to the ash heap of history and pray it stays there.",0
20257,This is the absolute worst movie I have ever seen!! There was absolutely nothing good to say about this movie. I have seen some bad movies but this one takes it. There is no plot and most of the movie you are either fast forwarding the movie to get it done faster or you are wondering what the hell is going on because you can't seriously think that someone thought of this movie and you are watching it. I feel sorry for anyone who has to sit through this painful hour and a half. Please take my advice and DO NOT WATCH this movie for I know you will think it is the biggest waste of time you have ever spent in your life.,0
1254,"Wow, I just saw this on T.V. as one of the ""scary"" movies they show around Halloween. Was this rated G? There wasn't really anything to make this movie scary, or worth watching. Also, other people say this is a spoof, but I don't think so. For a spoof, you need something called ""humor"". This low-budget crap-fest didn't have a shred of humor, and it didn't make much sense, either. You basically have a goofy looking monster (man in rubber suit) coming out of closets, killing people, I guess, since you never see the monster doing violence to anyone or any bloody aftermath. The spinning newspaper tells you that people were killed by the monster, so I guess that's good enough.<br /><br />The military tries feebly to kill the monster, which isn't much larger than a man. They have very bad aim. Then the military FLEES! Wow, did this movie make the U.S. military look pathetic or what? The monster, while hard to kill, doesn't do much besides shuffle around and roar. Oh, and occasionally a second head pops out of its mouth and shrieks. It was a slightly interesting, yet a total Alien ripoff.<br /><br />What was the deal with the scientist playing the Xylophone to attract the monster? It was hard to understand a lot of the dialog due to the poor sound quality. Also, why did the monster carry around the main wimpy guy for so long? Why didn't the monster go into the closet when it had a chance? Why do I insist on trying to make sense out of the senseless?",0
44675,"On the face of it this film looked like it might be really good - it isn't.<br /><br />The cast is pretty good, but most of them seemed embarrassed by the whole thing. The real disaster in this film is not the flood, but the script. It attempts to include every cliché in the book, all done incredibly poorly. The ending is very abrupt, but this is a blessing in disguise. Congragulations if you make it that far.<br /><br />All three main male actors (Carlyle, Courtney and Suchet) would surely agree that this is the low point in their careers. I hope they got paid a lot of cash, because none of their reputations come out in tact.<br /><br />The special effects are quite good, but the same thing was done to much better effect in The Day After Tomorrow.<br /><br />In short, a pointless exercise. Don't waste your time.",0
28298,"Bad Movie! Bad! Go stand in a discount bin. Carrot Top should really stick to low lit comedy clubs. It's movies like this that make old Jerry Lewis films look like Shakespeare and John Agar like John Barrymore. Coutney Thorne-Smith (a fine talent)is absolutely wasted. Her purpose seems mainly to look pretty and oblivious. <br /><br />The only enjoyable things about the movie is seeing Raquel Welch doing an Alexis Carrington type role, and Estelle Harris as a harridan of a landlady. The only way I can imagine someone thinking it would be a good idea to make this (beyond sophomoric) film, is if the producers' fourth grade child was allowed to pick the script. Well, maybe his third grader. What this film really needs is to be rubbed in the noses of its creators.",0
48982,"When I saw this movie I think I was a freshman in high school and I still feel like charging Master P for the hour & 20 mins or so that he took from my life that I'll never get back.<br /><br />The guy who already posted is completely right. Master P is a wannabe mobster. He, like all the other rappers in this country made his millions off of selling rap cds to young impressionable white kids in this country. It's widely known that the mob was not a black thing and blacks were not allowed to be part of it. Unfair as that might be rappers can't deal with. This movie paints Master P as a mobster named Nino? The script is terrible with the acting to match. Completely unbelievable. While searching I came up with a link or something that said he was planning on making another movie called ""The Black Sopranos""!!!!<br /><br />Please spare us that and stick to Nickalodeon. You are not a white mobster, your not even a good actor Master P, please stick to your music for the sake of whoever listens to it these days...",0
17229,"There are movies that are awful, and there are movies that are so awful they are deemed long-forgotten and unwatchable. Also, lots of violence and bad stuff (not just cheesy stuff; you know what I mean) add to the mix as well. What is the result of bad movies with such raunchy content? Why, ""Final Justice,"" of course! <br /><br />Remember ""Mitchell?"" Joe Don Baker was the star of that movie, and that was riffed by Joel and the Bots on ""Mystery Science Theater 3000."" Now this time, with Mike taking Joel's place on the Satellite of Love (but with the same bots), that trio got to make fun of MST3K's second Joe Don Baker movie, ""Final Justice."" Of course, much of the naughty stuff that I mentioned was removed for television release, but still, I want to watch that episode (and ""Mitchell"" as well), because what does Joe Don ""hate"" the most? Why, none other than ""Mystery Science Theater 3000!"" <br /><br />P.S. If you have a Big Lots nearby, check that store for the uncut tape! LOL That happened to another user!",0
30,"""Midnight Cowboy"" was never a great movie to start with but it is a classic. You know it's a classic the moment its insistent theme song, 'Everybody's Talking' starts up on the soundtrack, (actually not written for the film), and the way the camera introduces us to Joe Buck, (naked and in the shower). We had seen Jon Voight before but had never really noticed him but when he tells us he's 'one helluva stud' who's to doubt him? This was a great performance that had iconic star status as well as a complete grasp of the character and if Voight had never done anything else, his performance here would still be legendary. As it is Voight has seldom disappointed on screen; even a piece of ham as well cured as his performance in that glorious rubbish ""Anaconda"" is a source of pleasure).<br /><br />The film became famous and infamous almost overnight. It was a crowd-pleaser, (even with its downbeat ending), funny and sexy and recognizably 'real'; (it was the tail-end of the sixties and all the characters rang true). It was also the first 'X' rated film to win the Oscar as the year's Best Picture. Adapted, (brilliantly), by Waldo Salt from a James Leo Herlihy novel it was probably the first main-stream commercial American movie to deal with 'taboo' subjects such as homosexuality and drug-taking in a matter-of-fact manner. Everyone is recognizably human, warts and all, and everyone is treated sympathetically. Voight's Joe Buck is an innocent abroad, a Candide who comes to New York to seek his fortune as a hustler, (a profession he sees as glamorous and not seedy; he's a cross between a gigolo and a social worker). But when he himself is hustled by a scraggy, wormy little con-man called 'Ratso' Rizzo, (Dustin Hoffman, fresh from ""The Graduate"" and he's a revelation), he realizes that perhaps the reality is a little different from the pipe-dream.<br /><br />Essentially it's a male love story, (though totally platonic), between these two not so unlikely bedfellows. Both totally alone, both totally needy each becomes the protector of the other, (Voight with his physical prowess, Hoffman with his street-wise savvy). They are misfits adrift from the mainstream, tolerant of their own peculiarities and the deviances of others. Though 'straight' Voight isn't beyond a homosexual encounter in a 42nd street cinema with a boy even lonelier than himself. (The whole film posits a strangely 'Christian' attitude).<br /><br />It's also magnificently acted. While Voight and Hoffman hold the screen throughout there are superb vignettes from the likes of Brenda Vaccaro and Sylvia Miles as well as John McGiver, Bob Balaban and Bernard Hughes as sundry customers and hangers-on, beautifully delineated little character studies that seem to transcend acting altogether while John Schlesinger's direction gives the film the feel of a documentary as well as an alien's totally detached eye-view of the American under-belly without rancor and without criticism. On second thoughts, maybe it is a great movie after all.",1
10073,"I know that actors and actresses like to try different kinds of movies - hey, no one wants to get typecast - but Danny Glover, Brenda Fricker (happy birthday, Brenda!) and Christopher Lloyd should have known better than this. ""Angels in the Outfield"" is another movie in which everything seems lost until someone or something magically comes and saves the day. Do I even need to tell you how it ends? The movie is just plain lowly escapism (examples of high escapism are the various sci-fi movies from the '50s). If these movies had some political undertone - or at least offered us a new look at life - then they would be OK; this one is just pointless. Far closer to diabolical than angelic. Also starring Tony Danza, Adrien Brody and Matthew McConaughey, and I suspect that they don't wish to stress this in their resumes.",0
10647,"""Midnight Cowboy"" is one of those films thats been proclaimed a masterpiece with good reason - it really is one of the finest films ever made in America. Its both artistically valid yet entirely accessible and commercial. No wonder it was a huge success when initially released. But be warned, its also one of the most heartbreaking films ever made. The characters are memorable, well-developed, and ultimately tragic. The filmmakers should be applauded for not giving us the Hollywood ending, something which was basically mandatory by the 80s. Still, this is why I treasure the years of 1967 to 1977 for American film. Its a time when well-made, innovative, and most of all bleak films could be made with the big budgets that Hollywood could offer. All this was over by the time ""Star Wars"" was released.<br /><br />The direction by John Schlesinger makes the material work. It combines a simplistic style with some experimental editing. Unlike many other films featuring these psychedelic effects, ""Midnight Cowboy"" has aged quite well. Its still as powerful now as it was when initially released. The acting however is what makes this a masterpiece. The characters' backgrounds are never fully explained, but the performances make them completely developed. Both Jon Voight and Dustin Hoffman are absolutely memorable and sympathetic (despite their sometimes reprehensible actions). Plus, being a fan of vintage exploitation films, I loved the scenes set on the infamously sleazy 42nd street. ""Midnight Cowboy"" is close to being perfect and one of the most powerful films ever made. (10/10)",1
43266,"The real surprise of this effortlessly lightweight movie is how such a top notch cast got assembled for what is nothing more than a hammy uninspiring affair. Presumably it was a proverbial snowball rolling down a hill gathering pace and size and shape. One can imagine that by the time Miranda Richardson got contacted by her agent, the conversation went along the lines of: 'Do you want to shoot a movie in Dublin scripted by Neil Jordan? Michael Caine and Michael Gambon are already in!' This is a dull 'comedy' that sees Michael Caine and Dylan Moran try and pull off a well-planned hustle where Moran must imitate a London gangland boss (whose arrival is imminent) to collect a sizeable sum of cash from local kingpin Michael Gambon. The rest is simply a forgettable romp that is thankfully over quite quickly. Moran is mildly amusing in places but on this evidence is better suited to life on the small screen in hit comedies such as Black Books. Caine is unchallenged in his role and gives a steady performance without being overstretched. One can only imagine what made him sign up for this movie - it can't even have been a summer in Dublin given that many of the scenes look positively autumnal in the background. Gambon actually steals the show, and anyone who has caught some of his performances in the likes of Have I Got News For You will know that he is a wonderfully funny man. But overall the result is disappointing, and it seems a lifetime ago that Neil Jordan was making quality movies of the likes of Mona Lisa.",0
16530,"Peter Ustinov plays an embezzler who is just getting out of prison when the film begins. As soon as he walks out the gates, he immediately begins working on a scheme to once again make a bundle by stealing, though this time he has his sights set pretty high. This is actually one of the weak points about the film, as he apparently knows nothing about computers (few did back in 1968) but manages to become a computer genius literally overnight! Yeah, right. Anyway, he comes up with a scheme to impersonate a computer expert and obtain a job with a large American corporation so he can eventually embezzle a ton of cash. Considering his knowledge of computers is rudimentary, it's amazing how he puts into effect a brilliant plan AND manages to infiltrate the computer system and its defenses. But, it's a movie after all, so I was able to suspend disbelief. By the end of the film, he and his new wife (Maggie Smith) are able to run away with a million pounds.<br /><br />At the very end, though, it gets very, very confusing and Smith announces she's managed to actually accumulate more than two million by shrewd investing in the companies that Ustinov started (though she didn't realize they were all dummy companies). This should mean that eventually these stocks she bought were worthless. What they seem to imply (and I could be guessing wrong here) is that Ustinov and his new partners quickly cashed in the stocks before this became known and the stocks would thereby then become worthless. Either way, the film seems to post on a magical ending whereby no one is hurt and everyone is happy--and this just didn't make much sense. It's a shame, really, as the acting and most of the writing was great. Karl Malden, Bob Newhart, Peter Ustinov and Maggie Smith were just wonderful.<br /><br />If I seem to have interpreted the end, let me know, as the film seemed very vague in details at the end.",1
47544,"(This is a review of the later English release by Disney, featuring Alison Lohman, Patrick Stewart, and co.) <br /><br />I really wanted this film to be good. Really, really. I'm a huge fan of Princess Mononoke and Spirited Away, and after seeing all the glowing reviews on this earlier Miyazaki film, I was eager to see it. But I was shocked, shocked I say, at the quality of this film. Those later films boast well-crafted plots, 3-dimensional characters, and the best film music since...well...ever. This film just doesn't come close.<br /><br />Might as well start w/ the positive aspects, though. Like all Miyazaki films, this one is still very imaginative, with a bizarre fantasy/sci-fi setting, in a post-apocalyptic world where insects are the dominant species. Nausicaa can also boast some far superior animation to other films from its time. (though not as beautiful and fluid as Miyazaki's later films) And the English voice acting is quite well done.<br /><br />But this film...just...isn't...good... The characters are all cardboard - from saccharine sweet little Nausicaa, to the ruthlessly evil Tolmekians, to everyone in between. Once you've seen each of them for 30 seconds, you've seen all there is. And the fact that the plot just ambles along doesn't help.<br /><br />Then there's the music... Now, Hisaichi is hands down my favorite film composer, but Nausicaa doesn't do him justice. Half the music is 80's keyboards on overdrive, and it usually enters and leaves so abruptly that it distracts the visuals rather than helping them. I highly suspect that Hisaichi was told to compose a lot of the music before he even saw the picture.<br /><br />But wait! There's a great message with this film, right?! Let's all save the environment! Too bad that this film hits you over the head with it like a sledgehammer. There is a scene in which Nausicaa hugs a tree. No, really. I ain't kidding.<br /><br />It makes me a little sad to talk about how lame this film is. But for some reason all the other reviews on IMDb seem to adore it. And when the characters have to talk to themselves in extended sentences to tell you what's going on, that's lame.<br /><br />If you're the kind of person who worships anime, enjoys 80's music, and plants a tree every Arbor day, you will probably like this film. Otherwise, save your money for his later films, because they rock big time.",0
29607,"This is a ""docu-drama"" of (mostly) the later years of KW's life, with nearly all the parts played by actors (but spot which TV quartermaster plays himself!). It was made for the BBC4 arts channel but my guess is there will be syndication and DVD releases soon. KW is ably played by the excellent Michael Sheen, here repeating his previous stage role with great success. Most of the supporting cast are also very good, and a nice touch is the recreation of period TV appearances with the new actors. This is not, however, light viewing - anyone familiar with KW's diaries and general unhappy demeanour will already know how twisted he could be in later life - so don't expect 80 minutes of Carry On styled buffoonery, since the emphasis is decidedly downbeat throughout. Recommended, but it's tragi-comic, indeed.",1
25680,"Not only is The Great Rock N Roll Swindle thoroughly inaccurate, but when it comes down to it, not much about it is interesting or even entertaining. Malcolm McLaren apparently squandered the majority of the Sex Pistols earnings on this waste of film, which makes it that much more obnoxious. The intention, from the beginning, was to create a monument to the ""genius"" of McLaren, who to this day takes full credit for creating punk music, creating the Sex Pistols, and at times even writing all the songs. Viewers follow McLaren to various settings, where he tells his story to his sidekick, a female dwarf, and simply takes credit for one thing after another. One particularly irritating scene has McLaren in an abandoned airplane hangar, waiting for a plane, being hounded by reporters and giving them their ""big story"". The most entertaining elements of the film are the animated short pieces, however, even these reek of McLaren's overbearing self-importance.<br /><br />Even as a farce, this film doesn't work. Little about it is entertaining, except for Steve Jones, who is surprisingly decent as a pseudo-detective type person. 20 years later, Julien Temple, who wrote and directed this film, also directed the Sex Pistols documentary ""The Filth and the Fury"". While that movie is much better and more interesting than ""Swindle"", it still is full of Temple's ""artistic flourishes"" that just don't work, like interviewing band members in shadow, as if they are some kind of crime witness trying to hide their identity. An interesting bit of trivia: Film critic Roger Ebert was one of the original scriptwriters for the movie ""Who Killed Bambi?"", which eventually became ""Swindle"".",0
